Orbit #,glare_initial,glare_final,,,,,
,,,25-Mar,,,,
7209,0,2,,,,,
7234,0,7,,,,,
7283,1,7,,,,,
7299,1,5,,,,,
7313,0,3,,,,,
7319,0,3,,,,,
7324,0,3,,,,,
7326,0,6,,,,,
7327,0,7,,,,,
7328,0,6,,,,,
7329,0,7,,,,,
7330,0,6,,,,,
7331,0,8,,,,,
7332,0,6,,,,,
7333,0,6,,,,,
7334,0,4,,,,,
7335,0,7,,,,,
7336,0,5,,,,,
7337,0,7,,,,,
7338,0,5,,,,,
7339,0,7,,,,,
7340,0,13,,,,,
7341,0,10,,,,,
7342,0,11,,,,,
7343,0,5,,,,,
7344,0,7,,,,,
7345,0,9,,,,,
7346,0,9,,,,,
7347,0,9,,,,,
7348,0,7,,,,,
7350,0,11,,,,,
7351,0,2,,,,,
7354,0,3,,,,,
7358,0,2,,,,,
7360,0,10,,,,,
7361,0,6,,,,,
7362,0,6,,,,,
7363,0,5,,,,,
7365,0,3,,,,,
7366,0,3,,,,,
7367,0,3,,,,,
7370,0,4,,,,,
7375,0,4,,,,,
7380,0,2,,,,,
7382,0,2,,,,,
7385,0,2,,,,,
7438,0,123,,,,,
7441,0,49,,,,,
7541,0,3,,,,,
7542,0,3,,,,,
7543,0,3,,,,,
7555,0,6,,,,,
,,,25-Apr,,,,
7801,1678,1686,,,,,
7802,1683,1685,,,,,
,,,25-May,,,,
8168,0,2,,,,,
8169,0,6,,,,,
8170,0,2,,,,,
8171,0,8,,,,,
8173,0,12,,,,,
8174,0,3,,,,,
8175,0,10,,,,,
8176,0,16,,,,,
8177,0,13,,,,,
8178,0,3,,,,,
8179,0,19,,,,,
8180,0,17,,,,,
8181,0,25,,,,,
8182,0,27,,,,,
8183,0,12,,,,,
8184,0,30,,,,,
8185,0,32,,,,,
8186,0,26,,,,,
8187,0,39,,,,,
8188,0,41,,,,,
8189,0,19,,,,,
8190,0,38,,,,,
8191,0,29,,,,,
8192,0,42,,,,,
8193,0,45,,,,,
8194,0,47,,,,,
8195,0,30,,,,,
8196,0,49,,,,,
8197,0,57,,,,,
8198,0,53,,,,,
8199,0,58,,,,,
8200,0,57,,,,,
8201,0,24,,,,,
8202,0,28,,,,,
8203,0,31,,,,,
8204,0,22,,,,,
8205,0,17,,,,,
8206,0,22,,,,,
8207,0,11,,,,,
8208,0,30,,,,,
8209,0,15,,,,,
8210,0,15,,,,,
8211,0,8,,,,,
8212,0,13,,,,,
8213,0,8,,,,,
8214,0,5,,,,,
8215,0,8,,,,,
8216,0,7,,,,,
8217,0,8,,,,,
8218,0,5,,,,,
8219,0,5,,,,,
8220,0,8,,,,,
8221,0,5,,,,,
8222,0,7,,,,,
8223,0,9,,,,,
8224,0,7,,,,,
8225,0,13,,,,,
8226,0,10,,,,,
8227,0,4,,,,,
8228,0,16,,,,,
8228,1207,1213,,,,,
8229,0,18,,,,,
8230,0,9,,,,,
8231,0,16,,,,,
8232,0,11,,,,,
8233,0,12,,,,,
8234,0,12,,,,,
8235,0,10,,,,,
8236,0,16,,,,,
8237,0,52,,,,,
8238,0,247,,,,,
8239,0,267,,,,,
8240,0,270,,,,,
8241,0,279,,,,,
8242,0,293,,,,,
8243,0,332,,,,,
8244,0,343,,,,,
8245,0,338,,,,,
8246,0,336,,,,,
8247,0,353,,,,,
8248,0,351,,,,,
8249,0,343,,,,,
8250,0,361,,,,,
8251,0,384,,,,,
8252,0,403,,,,,
8253,0,435,,,,,
8254,0,405,,,,,
8255,0,439,,,,,
8256,0,457,,,,,
8257,0,480,,,,,
8258,0,432,,,,,
8259,0,461,,,,,
8260,0,491,,,,,
8261,0,488,,,,,
8262,0,504,,,,,
8263,0,495,,,,,
8264,0,516,,,,,
8265,0,581,,,,,
8266,0,586,,,,,
8267,0,564,,,,,
8268,0,677,,,,,
8269,0,621,,,,,
8270,0,744,,,,,
8271,0,751,,,,,
8272,0,779,,,,,
8273,0,819,,,,,
8274,0,866,,,,,
8275,0,754,,,,,
8276,0,906,,,,,
8277,0,948,,,,,
8278,0,792,,,,,
8279,0,914,,,,,
8280,0,919,,,,,
8281,0,829,,,,,
8282,0,885,,,,,
8231,1172,1178,,,,,
8232,1188,1202,,,,,
8233,1181,1194,,,,,
8234,1171,1185,,,,,
8235,1138,1177,,,,,
8236,1124,1173,,,,,
8237,1148,1167,,,,,
8238,1344,1376,,,,,
8239,1315,1366,,,,,
8240,1332,1384,,,,,
8241,1334,1380,,,,,
8242,1318,1379,,,,,
8243,1314,1375,,,,,
8244,1321,1373,,,,,
8245,1312,1371,,,,,
8246,1300,1368,,,,,
8247,1276,1365,,,,,
8248,1283,1362,,,,,
8249,1269,1360,,,,,
8250,1258,1359,,,,,
8251,1272,1358,,,,,
8252,1236,1357,,,,,
8253,1223,1356,,,,,
8254,1207,1338,,,,,
8255,1216,1356,,,,,
8256,1229,1357,,,,,
8257,1211,1355,,,,,
8258,1156,1339,,,,,
8259,1155,1357,,,,,
8260,1167,1357,,,,,
8261,1170,1356,,,,,
8262,1118,1345,,,,,
8263,1112,1357,,,,,
8264,1086,1355,,,,,
8265,1121,1357,,,,,
8266,1068,1358,,,,,
8267,1094,1357,,,,,
8268,1220,1357,,,,,
8269,1081,1279,,,,,
8270,1173,1346,,,,,
8271,1087,1348,,,,,
8272,1120,1346,,,,,
8273,1076,1345,,,,,
8274,1090,1345,,,,,
8275,930,1338,,,,,
8276,1021,1347,,,,,
8277,1045,1316,,,,,
8278,822,1322,,,,,
8279,941,1306,,,,,
8280,971,1318,,,,,
8281,858,1320,,,,,
8282,941,1302,,,,,
8299,0,867,,,,,
8300,0,823,,,,,
8301,0,889,,,,,
8302,0,880,,,,,
8303,0,828,,,,,
8304,0,779,,,,,
8305,0,806,,,,,
8306,0,823,,,,,
8307,0,865,,,,,
8308,0,794,,,,,
8309,0,795,,,,,
8310,0,748,,,,,
8311,0,749,,,,,
8312,0,722,,,,,
8313,0,678,,,,,
8314,0,571,,,,,
8315,0,586,,,,,
8316,0,556,,,,,
8317,0,546,,,,,
8299,973,1336,,,,,
8300,929,1218,,,,,
8301,990,1343,,,,,
8302,961,1346,,,,,
8303,1120,1342,,,,,
8304,807,1333,,,,,
8305,1149,1333,,,,,
8306,1123,1344,,,,,
8307,1157,1337,,,,,
8308,1164,1339,,,,,
8309,1106,1347,,,,,
8310,1195,1347,,,,,
8311,1162,1346,,,,,
8312,1196,1348,,,,,
8313,1134,1384,,,,,
8314,1097,1347,,,,,
8315,1167,1351,,,,,
8316,1178,1356,,,,,
8317,1187,1355,,,,,
8320,0,229,,,,,
8321,0,490,,,,,
8322,0,513,,,,,
8323,0,489,,,,,
8324,0,464,,,,,
8325,0,475,,,,,
8326,0,454,,,,,
8327,0,466,,,,,
8328,0,418,,,,,
8329,0,408,,,,,
8330,0,394,,,,,
8331,0,374,,,,,
8332,0,382,,,,,
8333,0,394,,,,,
8334,0,356,,,,,
8335,0,355,,,,,
8336,0,351,,,,,
8337,0,322,,,,,
8338,0,339,,,,,
8339,0,321,,,,,
8340,0,323,,,,,
8341,0,323,,,,,
8342,0,60,,,,,
8343,0,44,,,,,
8344,0,21,,,,,
8345,0,18,,,,,
8346,0,14,,,,,
8347,0,12,,,,,
8348,0,14,,,,,
8320,922,1585,,,,,
8321,1177,1345,,,,,
8322,1229,1357,,,,,
8323,1232,1356,,,,,
8324,1204,1357,,,,,
8325,1215,1355,,,,,
8326,1237,1356,,,,,
8327,1281,1358,,,,,
8328,1249,1354,,,,,
8329,1292,1356,,,,,
8330,1281,1361,,,,,
8331,1271,1361,,,,,
8332,1278,1364,,,,,
8333,1294,1367,,,,,
8334,1328,1370,,,,,
8335,1338,1373,,,,,
8336,1349,1377,,,,,
8337,1322,1379,,,,,
8338,1330,1380,,,,,
8339,1336,1386,,,,,
8340,1367,1386,,,,,
8341,1386,1392,,,,,
8342,1137,1142,,,,,
8343,1148,1150,,,,,
8344,1150,1152,,,,,
8346,1125,1145,,,,,
8348,1157,1170,,,,,
8349,0,7,,,,,
8350,0,6,,,,,
8351,0,9,,,,,
8352,0,8,,,,,
8353,0,13,,,,,
8354,0,9,,,,,
8355,0,5,,,,,
8356,0,10,,,,,
8357,0,13,,,,,
8358,0,10,,,,,
8359,0,4,,,,,
8360,0,10,,,,,
8361,0,14,,,,,
8362,0,22,,,,,
8363,0,20,,,,,
8364,0,17,,,,,
8365,0,8,,,,,
8366,0,14,,,,,
8367,0,32,,,,,
8368,0,12,,,,,
8369,0,10,,,,,
8370,0,14,,,,,
8371,0,8,,,,,
8372,0,23,,,,,
8373,0,29,,,,,
8374,0,18,,,,,
8375,0,12,,,,,
8376,0,11,,,,,
8377,0,26,,,,,
8378,0,34,,,,,
8379,0,20,,,,,
8380,0,39,,,,,
8381,0,48,,,,,
8382,0,46,,,,,
8383,0,47,,,,,
8384,0,45,,,,,
8385,0,50,,,,,
8386,0,53,,,,,
8387,0,54,,,,,
8388,0,50,,,,,
8389,0,47,,,,,
8390,0,32,,,,,
8391,0,33,,,,,
8392,0,43,,,,,
8393,0,39,,,,,
8394,0,33,,,,,
8395,0,35,,,,,
8396,0,38,,,,,
8397,0,36,,,,,
8398,0,17,,,,,
8399,0,20,,,,,
8400,0,29,,,,,
8401,0,31,,,,,
8402,0,25,,,,,
8403,0,21,,,,,
8404,0,8,,,,,
8405,0,9,,,,,
8406,0,6,,,,,
8407,0,8,,,,,
8408,0,13,,,,,
8409,0,5,,,,,
8410,0,7,,,,,
8411,0,10,,,,,
8412,0,7,,,,,
8413,0,4,,,,,
8357,1275,1281,,,,,
8417,0,13,,,,,
8442,0,10,,,,,
8449,0,5,,,,,
8475,0,4,,,,,
8571,1933,1941,,,,,
,,,25-Jun,,,,
8652,0,10,,,,,
8654,0,5,,,,,
8660,0,7,,,,,
8661,0,19,,,,,
8667,0,14,,,,,
8668,0,6,,,,,
8669,0,4,,,,,
8673,0,3,,,,,
8684,0,4,,,,,
8689,0,7,,,,,
8690,0,2,,,,,
8692,0,2,,,,,
8693,0,10,,,,,
8694,0,6,,,,,
8697,1875,1881,,,,,
8703,0,10,,,,,
8704,0,8,,,,,
8705,0,9,,,,,
8707,0,9,,,,,
8708,0,14,,,,,
8709,0,10,,,,,
8712,0,11,,,,,
8713,0,10,,,,,
8714,0,8,,,,,
8717,0,9,,,,,
8721,0,12,,,,,
8728,0,9,,,,,
8730,0,8,,,,,
8733,0,16,,,,,
8738,0,6,,,,,
8744,0,12,,,,,
8746,0,10,,,,,
8750,1847,1861,,,,,
8751,1836,1847,,,,,
8761,0,6,,,,,
8784,1858,1867,,,,,
8785,1860,1865,,,,,
8788,1847,1857,,,,,
8789,0,6,,,,,
8791,1843,1852,,,,,
8793,0,2,,,,,
8800,1857,1873,,,,,
8803,1852,1862,,,,,
8804,1868,1878,,,,,
8813,1881,1884,,,,,
8817,1867,1874,,,,,
8818,0,8,,,,,
8818,1875,1888,,,,,
8820,1887,1898,,,,,
8828,1864,1876,,,,,
8831,1880,1891,,,,,
8862,1900,1915,,,,,
8874,1903,1918,,,,,
8890,1918,1931,,,,,
8893,0,8,,,,,
8975,0,10,,,,,
9005,0,12,,,,,
9023,0,42,,,,,
9024,0,24,,,,,
9027,1861,1871,,,,,
9056,0,12,,,,,
9086,0,2,,,,,
9089,0,4,,,,,
9091,0,7,,,,,
9093,0,8,,,,,
9094,0,3,,,,,
9095,0,2,,,,,
,,,25-Jul,,,,
9096,0,12,,,9096,,
9097,0,22,,,9097,,
9098,0,21,,,9098,,
9099,0,6,,,9099,,
9100,0,27,,,9100,,
9101,0,12,,,9101,,
9102,0,29,,,9102,,
9103,0,31,,,9103,,
9104,0,34,,,9104,,
9105,0,35,,,9105,,
9106,0,28,,,9106,,
9106,1622,1934,,,9106,,
,,,,,,,
9109,0,47,,,9109,,
9110,0,47,,,9110,,
9111,0,44,,,9111,,
9112,0,58,,,9112,,
9113,0,53,,,9113,,
9114,0,62,,,9114,,
9115,0,64,,,9115,,
9116,0,68,,,9116,,
9117,0,67,,,9117,,
9118,0,74,,,9118,,
9119,0,47,,,9119,,
9120,0,38,,,9120,,
9121,0,24,,,9121,,
9122,0,27,,,9122,,
9123,0,27,,,9123,,
9124,0,15,,,9124,,
9125,0,12,,,9125,,
9126,0,23,,,9126,,
9126,1432,1443,,,9126,,
9127,0,22,,,9127,,
9128,0,15,,,9128,,
9129,0,7,,,9129,,
9130,0,17,,,9130,,
9131,0,17,,,9131,,
9132,0,7,,,9132,,
9133,0,24,,,9133,,
9134,0,14,,,9134,,
9135,0,10,,,9135,,
9136,0,13,,,9136,,
9137,0,12,,,9137,,
9138,0,16,,,9138,,
9139,0,16,,,9139,,
9141,0,11,,,9141,,
9142,0,12,,,9142,,
9143,0,12,,,9143,,
9144,0,19,,,9144,,
9146,0,10,,,9146,,
9147,0,9,,,9147,,
9148,0,7,,,9148,,
9149,0,12,,,9149,,
9147,1191,1205,,,9147,,
9148,1186,1188,,,9148,,
9149,1148,1178,,,9149,,
9151,1141,1145,,,9151,,
9152,1086,1116,,,9152,,
9153,1107,1116,,,9153,,
9154,0,295,,,9154,,
9155,0,293,,,9155,,
9156,0,310,,,9156,,
9154,1351,1368,,,9154,,
9155,1339,1384,,,9155,,
9156,0,310,,,9156,,
9158,0,29,,,9158,,
9159,0,121,,,9159,,
9160,0,152,,,9160,,
9161,0,128,,,9161,,
9162,0,140,,,9162,,
9163,0,139,,,9163,,
9164,0,154,,,9164,,
9165,0,164,,,9165,,
9166,0,173,,,9166,,
9167,0,210,,,9167,,
9168,0,212,,,9168,,
9169,0,232,,,9169,,
9159,1111,1283,,,9159,,
9160,1090,1293,,,9160,,
9161,1071,1286,,,9161,,
9162,1089,1284,,,9162,,
9163,1047,1287,,,9163,,
9164,1018,1287,,,9164,,
9165,1062,1285,,,9165,,
9166,1040,1269,,,9166,,
9167,1040,1291,,,9167,,
9168,1017,1286,,,9168,,
9169,919,929,,,9169,,
9171,338,607,,,9171,,
9172,0,219,,,9172,,
9173,0,330,,,9173,,
9174,0,120,,,9174,,
9175,0,153,,,9175,,
9176,0,176,,,9176,,
9177,0,193,,,9177,,
9178,0,219,,,9178,,
9179,0,213,,,9179,,
9180,0,246,,,9180,,
9181,0,286,,,9181,,
9182,0,312,,,9182,,
9183,0,327,,,9183,,
9184,0,377,,,9184,,
9172,930,1241,,,9172,,
9173,999,1370,,,9173,,
9174,755,1258,,,9174,,
9175,765,1276,,,9175,,
9176,722,1264,,,9176,,
9177,690,1263,,,9177,,
9178,678,1262,,,9178,,
9179,661,1260,,,9179,,
9180,634,1260,,,9180,,
9181,593,1262,,,9181,,
9182,554,1260,,,9182,,
9183,517,1260,,,9183,,
9184,435,1238,,,9184,,
9255,0,349,,,9255,,
9256,0,332,,,9256,,
9257,0,280,,,9257,,
9258,0,260,,,9258,,
9259,0,252,,,9259,,
9260,0,228,,,9260,,
9261,0,205,,,9261,,
9262,0,188,,,9262,,
9263,0,185,,,9263,,
9264,0,166,,,9264,,
9265,0,220,,,9265,,
9266,0,330,,,9266,,
9267,0,292,,,9267,,
9268,0,286,,,9268,,
9269,0,275,,,9269,,
9270,0,271,,,9270,,
9271,0,256,,,9271,,
9272,0,243,,,9272,,
9273,0,220,,,9273,,
9274,0,219,,,9274,,
9275,0,188,,,9275,,
9276,0,176,,,9276,,
9277,0,187,,,9277,,
9278,0,163,,,9278,,
9279,0,150,,,9279,,
9280,0,139,,,9280,,
9281,0,129,,,9281,,
9282,0,123,,,9282,,
9283,0,132,,,9283,,
9284,0,124,,,9284,,
9285,0,106,,,9285,,
9286,0,110,,,9286,,
9287,0,107,,,9287,,
9288,0,97,,,9288,,
9289,0,78,,,9289,,
9290,0,70,,,9290,,
9291,0,64,,,9291,,
9292,0,50,,,9292,,
9293,0,46,,,9293,,
9294,0,60,,,9294,,
9295,0,52,,,9295,,
9255,554,1263,,,9255,,
9256,580,1266,,,9256,,
9257,644,1265,,,9257,,
9258,673,1266,,,9258,,
9259,697,1268,,,9259,,
9260,729,1268,,,9260,,
9261,743,1268,,,9261,,
9262,760,1267,,,9262,,
9263,785,1268,,,9263,,
9264,803,1266,,,9264,,
9265,897,1171,,,9265,,
9266,1034,1297,,,9266,,
9267,1036,1293,,,9267,,
9268,1054,1301,,,9268,,
9269,1070,1301,,,9269,,
9270,1056,1301,,,9270,,
9271,1066,1304,,,9271,,
9272,1076,1301,,,9272,,
9273,1111,1301,,,9273,,
9274,1087,1303,,,9274,,
9275,1082,1300,,,9275,,
9276,1095,1300,,,9276,,
9277,1152,1303,,,9277,,
9278,1165,1301,,,9278,,
9279,1171,1300,,,9279,,
9280,1156,1300,,,9280,,
9281,1182,1301,,,9281,,
9282,1179,1302,,,9282,,
9283,1175,1302,,,9283,,
9284,1205,1303,,,9284,,
9285,1205,1302,,,9285,,
9286,1191,1304,,,9286,,
9287,1237,1305,,,9287,,
9288,1229,1304,,,9288,,
9289,1219,1305,,,9289,,
9290,1221,1307,,,9290,,
9291,1234,1310,,,9291,,
9292,1272,1313,,,9292,,
9293,1287,1319,,,9293,,
9294,1291,1323,,,9294,,
9295,1254,1282,,,9295,,
9297,1211,1288,,,9297,,
9298,0,25,,,9298,,
9299,0,14,,,9299,,
9300,0,9,,,9300,,
9301,0,14,,,9301,,
9302,0,6,,,9302,,
9305,0,21,,,9305,,
9306,0,14,,,9306,,
9307,0,15,,,9307,,
9308,0,19,,,9308,,
9309,0,17,,,9309,,
9310,0,22,,,9310,,
9311,0,27,,,9311,,
9312,0,28,,,9312,,
9313,0,35,,,9313,,
9314,0,35,,,9314,,
9315,0,23,,,9315,,
9316,0,37,,,9316,,
9317,0,24,,,9317,,
9318,0,22,,,9318,,
9319,0,44,,,9319,,
9320,0,50,,,9320,,
9321,0,53,,,9321,,
9322,0,33,,,9322,,
9323,0,32,,,9323,,
9324,0,30,,,9324,,
9325,0,30,,,9325,,
9326,0,42,,,9326,,
9327,0,42,,,9327,,
9328,0,29,,,9328,,
9329,0,20,,,9329,,
9330,0,18,,,9330,,
9331,0,23,,,9331,,
9332,0,18,,,9332,,
9333,0,13,,,9333,,
9334,0,10,,,9334,,
9335,0,8,,,9335,,
9336,0,19,,,9336,,
9338,0,3,,,9338,,
9339,0,5,,,9339,,
9340,0,2,,,9340,,
9341,0,17,,,9341,,
9342,0,8,,,9342,,
9343,0,3,,,9343,,
9410,1862,1870,,,9410,,
9441,0,17,,,9441,,
9460,1923,1931,,,9460,,
9477,0,9,,,9477,,
9521,0,6,,,9521,,
9534,0,7,,,9534,,
,,,25-Aug,,,,
9582,0,8,,,9582,8,
9583,0,11,,,9583,11,
9584,0,5,,,9584,5,
9586,0,6,,,9586,6,
9590,0,11,,,9590,11,
9599,0,15,,,9599,15,
9602,0,11,,,9602,11,
9603,0,11,,,9603,11,
9604,0,10,,,9604,10,
9609,0,11,,,9609,11,
9613,0,19,,,9613,19,
9614,0,13,,,9614,13,
9616,0,12,,,9616,12,
9617,0,20,,,9617,20,
9625,0,10,,,9625,10,
9626,0,15,,,9626,15,
9627,0,9,,,9627,9,
9628,0,9,,,9628,9,
9629,0,12,,,9629,12,
9631,0,2,,,9631,2,
9632,0,9,,,9632,9,
9633,0,13,,,9633,13,
9637,0,2,,,9637,2,
9644,0,12,,,9644,12,
9646,0,9,,,9646,9,
9647,0,10,,,9647,10,
9648,0,8,,,9648,8,
9651,0,9,,,9651,9,
9652,0,8,,,9652,8,
9654,0,2,,,9654,2,
9658,0,11,,,9658,11,
9661,0,10,,,9661,10,
9662,0,10,,,9662,10,
9676,0,7,,,9676,7,
9681,0,3,,,9681,3,
9687,1786,1794,,,9687,1794,
9688,0,17,,,9688,17,
9691,0,9,,,9691,9,
9692,0,8,,,9692,8,
9693,0,2,,,9693,2,
9695,1773,1785,,,9695,1785,
9696,1783,1795,,,9696,1795,
9703,0,13,,,9703,13,
9707,1786,1792,,,9707,1792,
9712,1779,1793,,,9712,1793,
9713,1792,1799,,,9713,1799,
9714,1780,1796,,,9714,1796,
9715,1796,1804,,,9715,1804,
9726,1800,1807,,,9726,1807,
9745,1827,1838,,,9745,1838,
9753,1831,1842,,,9753,1842,
9764,1831,1842,,,9764,1842,
9776,1850,1860,,,9776,1860,
9777,1864,1869,,,9777,1869,
9779,1842,1857,,,9779,1857,
9781,1842,1854,,,9781,1854,
9784,1856,1867,,,9784,1867,
10025,0,16,,,10025,16,
,,,Sep-25,,,,
10068,0,14,,,10068,0,14
10069,0,4,,,10069,0,4
10071,0,7,,,10071,0,7
10072,0,8,,,10072,0,8
10073,0,11,,,10073,0,11
10074,0,10,,,10074,0,10
10075,0,14,,,10075,0,14
10076,0,17,,,10076,0,17
10077,0,16,,,10077,0,16
10078,0,14,,,10078,0,14
10079,0,7,,,10079,0,7
10080,0,16,,,10080,0,16
10081,0,23,,,10081,0,23
10082,0,19,,,10082,0,19
10081,1626,1633,,,10081,1626,1633
10082,0,19,,,10082,0,19
10084,0,22,,,10084,0,22
10085,0,26,,,10085,0,26
10087,0,32,,,10087,0,32
10088,0,40,,,10088,0,40
10090,0,44,,,10090,0,44
10092,0,16,,,10092,0,16
10094,0,11,,,10094,0,11
10095,0,4,,,10095,0,4
10096,0,7,,,10096,0,7
10097,0,51,,,10097,0,51
10098,0,25,,,10098,0,25
10100,0,15,,,10100,0,15
10101,0,35,,,10101,0,35
10102,0,15,,,10102,0,15
10105,0,46,,,10105,0,46
10106,0,53,,,10106,0,53
10107,0,27,,,10107,0,27
10108,0,19,,,10108,0,19
10109,0,17,,,10109,0,17
10110,0,15,,,10110,0,15
10111,0,34,,,10111,0,34
10112,0,36,,,10112,0,36
10113,0,22,,,10113,0,22
10114,0,28,,,10114,0,28
10115,0,19,,,10115,0,19
10116,0,18,,,10116,0,18
10117,0,12,,,10117,0,12
10118,0,12,,,10118,0,12
10119,0,14,,,10119,0,14
10120,0,21,,,10120,0,21
10121,0,24,,,10121,0,24
10122,0,24,,,10122,0,24
10126,0,12,,,10126,0,12
10127,0,16,,,10127,0,16
10127,1425,1436,,,10127,1425,1436
10128,0,11,,,10128,0,11
10129,0,7,,,10129,0,7
10130,0,10,,,10130,0,10
10131,0,12,,,10131,0,12
10132,0,12,,,10132,0,12
10133,0,11,,,10133,0,11
10134,0,9,,,10134,0,9
10135,0,18,,,10135,0,18
10136,0,26,,,10136,0,26
10137,0,10,,,10137,0,10
10138,0,9,,,10138,0,9
10139,0,26,,,10139,0,26
10140,0,13,,,10140,0,13
10141,0,12,,,10141,0,12
10142,0,9,,,10142,0,9
10143,0,9,,,10143,0,9
10144,0,19,,,10144,0,19
10145,0,11,,,10145,0,11
10146,0,15,,,10146,0,15
10147,0,14,,,10147,0,14
10148,0,5,,,10148,0,5
10149,0,17,,,10149,0,17
10150,0,5,,,10150,0,5
10151,0,17,,,10151,0,17
10152,0,12,,,10152,0,12
10153,0,15,,,10153,0,15
10154,0,15,,,10154,0,15
10155,0,16,,,10155,0,16
10156,0,9,,,10156,0,9
10157,0,14,,,10157,0,14
10158,0,13,,,10158,0,13
10159,0,15,,,10159,0,15
10159,1361,1367,,,10159,1361,1367
10160,0,11,,,10160,0,11
10161,0,17,,,10161,0,17
10162,0,21,,,10162,0,21
10163,0,16,,,10163,0,16
10164,0,12,,,10164,0,12
10165,0,16,,,10165,0,16
10166,0,19,,,10166,0,19
10167,0,9,,,10167,0,9
10168,0,10,,,10168,0,10
10169,0,13,,,10169,0,13
10170,0,10,,,10170,0,10
10171,0,16,,,10171,0,16
10172,0,13,,,10172,0,13
10173,0,12,,,10173,0,12
10174,0,15,,,10174,0,15
10175,0,14,,,10175,0,14
10176,0,12,,,10176,0,12
10177,0,16,,,10177,0,16
10178,0,28,,,10178,0,28
10179,0,13,,,10179,0,13
10180,0,14,,,10180,0,14
10181,0,10,,,10181,0,10
10182,0,9,,,10182,0,9
10183,0,10,,,10183,0,10
10184,0,9,,,10184,0,9
10185,0,9,,,10185,0,9
10186,0,13,,,10186,0,13
10187,0,20,,,10187,0,20
10188,0,14,,,10188,0,14
10191,0,14,,,10191,0,14
10192,0,11,,,10192,0,11
10193,0,16,,,10193,0,16
10194,0,10,,,10194,0,10
10195,0,9,,,10195,0,9
10196,0,15,,,10196,0,15
10197,0,10,,,10197,0,10
10198,0,10,,,10198,0,10
10199,0,18,,,10199,0,18
10200,0,25,,,10200,0,25
10201,0,25,,,10201,0,25
10201,1492,1501,,,10201,1492,1501
10202,0,13,,,10202,0,13
10203,0,19,,,10203,0,19
10204,0,21,,,10204,0,21
10205,0,41,,,10205,0,41
10206,0,44,,,10206,0,44
10207,0,40,,,10207,0,40
10208,0,53,,,10208,0,53
10209,0,55,,,10209,0,55
10210,0,51,,,10210,0,51
10211,0,66,,,10211,0,66
10212,0,40,,,10212,0,40
10213,0,37,,,10213,0,37
10214,0,45,,,10214,0,45
10214,1577,1589,,,10214,1577,1589
10215,0,41,,,10215,0,41
10216,0,45,,,10216,0,45
10217,0,37,,,10217,0,37
10218,0,35,,,10218,0,35
10219,0,34,,,10219,0,34
10220,0,41,,,10220,0,41
10221,0,47,,,10221,0,47
10222,0,34,,,10222,0,34
10223,0,33,,,10223,0,33
10224,0,36,,,10224,0,36
10225,0,44,,,10225,0,44
10226,0,24,,,10226,0,24
10227,0,43,,,10227,0,43
10228,0,20,,,10228,0,20
10229,0,27,,,10229,0,27
10229,1624,1637,,,10229,1624,1637
10230,0,25,,,10230,0,25
10231,0,30,,,10231,0,30
10232,0,36,,,10232,0,36
10233,0,18,,,10233,0,18
10234,0,20,,,10234,0,20
10235,0,29,,,10235,0,29
10236,0,33,,,10236,0,33
10237,0,9,,,10237,0,9
10238,0,11,,,10238,0,11
10239,0,12,,,10239,0,12
10239,1663,1668,,,10239,1663,1668
10240,0,23,,,10240,0,23
10241,0,5,,,10241,0,5
10242,0,20,,,10242,0,20
10243,0,23,,,10243,0,23
10241,1659,1671,,,10241,1659,1671
10245,1632,1640,,,10245,1632,1640
10251,1670,1935,,,10251,1670,1935
10253,0,36,,,10253,0,36
10259,1722,1729,,,10259,1722,1729
10262,1742,1980,,,10262,1742,1980
10275,0,7,,,10275,0,7
10309,1837,1849,,,10309,1837,1849
10360,0,3,,,10360,0,3
10362,0,2,,,10362,0,2
10376,0,5,,,10376,0,5
10377,0,3,,,10377,0,3
10378,0,8,,,10378,0,8
10434,1921,1929,,,10434,1921,1929
10438,1923,1926,,,10438,1923,1926
10489,0,8,,,10489,0,8
10494,0,4,,,10494,0,4
10495,0,13,,,10495,0,13
10498,0,9,,,10498,0,9
